"WKT","Idcko","Datum","Cas","denvtydnu","weekday","Nocden","daynight","Misto","Udalost","Incident","Vyrizeni","closing","Zdroj","Source","Y","X"
"POINT (16.5798755550001 49.1907219570001)","45220","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45227","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45228","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45229","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45230","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45231","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45232","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45233","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45234","2017/08/03","1899/12/30","Čtvrtek","Thursday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.558445998 49.175012888)","45273","2017/08/02","1899/12/30","Středa","Wednesday","Noc","Night","Obla 41, Brno-Novy Liskovec","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.17501288850","16.55844599800"
"POINT (16.5798755550001 49.1907219570001)","45470","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45471","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45475","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45478","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45481","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45482","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45483","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45486","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45487","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45490","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45491","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45492","2017/08/02","1899/12/30","Středa","Wednesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5909479 49.207734024)","45511","2017/08/02","1899/12/30","Středa","Wednesday","Noc","Night","Veveri 97, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20773402400","16.59094789990"
"POINT (16.5933516260001 49.209908043)","45622","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Kounicova 67a, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20990804270","16.59335162560"
"POINT (16.5937547940001 49.209337411)","45627","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5830035550001 49.1900718320001)","45662","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 90, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19007183180","16.58300355510"
"POINT (16.5798755550001 49.1907219570001)","45672","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45673","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45675","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45836","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.64473387 49.2009988710001)","45837","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Gajdosova 7, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20099887120","16.64473386970"
"POINT (16.5798755550001 49.1907219570001)","45854","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5798755550001 49.1907219570001)","45862","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 114, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19072195690","16.57987555520"
"POINT (16.5777438 49.191335951)","45882","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Hlinky 130, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19133595060","16.57774380030"
"POINT (16.646043197 49.1972325030001)","45889","2017/08/01","1899/12/30","Úterý","Tuesday","Den","Day","Gajdosova, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19723250340","16.64604319670"
"POINT (16.6076818500001 49.1916932570001)","46075","2017/07/31","1899/12/30","Pondělí","Monday","Den","Day","Petrska 1, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19169325690","16.60768185040"
"POINT (16.628860103 49.205071354)","46157","2017/07/31","1899/12/30","Pondělí","Monday","Den","Day","Husovicka 4, Brno-Husovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20507135360","16.62886010270"
"POINT (16.576773873 49.192239338)","46175","2017/07/31","1899/12/30","Pondělí","Monday","Den","Day","Hlinky 138, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19223933780","16.57677387300"
"POINT (16.658850538 49.205751541)","46201","2017/07/31","1899/12/30","Pondělí","Monday","Den","Day","Palavske namesti 13, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20575154130","16.65885053780"
"POINT (16.6369473140001 49.2029823010001)","46239","2017/07/30","1899/12/30","Neděle","Sunday","Noc","Night","Bubenickova 1, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20298230060","16.63694731410"
"POINT (16.5282450510001 49.2253046640001)","46418","2017/07/29","1899/12/30","Sobota","Saturday","Noc","Night","zivneho 1a, Brno-Bystrc","Cyklista - Alkohol nad 0,3 promile","Cyclist - alcohol over 0,3","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.22530466390","16.52824505100"
"POINT (16.6396359170001 49.2067973900001)","46419","2017/07/29","1899/12/30","Sobota","Saturday","Noc","Night","Skopalikova 30, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20679739020","16.63963591710"
"POINT (16.5327353230001 49.223289122)","46542","2017/07/28","1899/12/30","Pátek","Friday","Noc","Night","Pod Horkou 16, Brno-Bystrc","Cyklista - Alkohol nad 0,3 promile","Cyclist - alcohol over 0,3","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.22328912190","16.53273532270"
"POINT (16.5898126480001 49.228745347)","46627","2017/07/28","1899/12/30","Pátek","Friday","Den","Day","Bulharska 86, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22874534690","16.58981264800"
"POINT (16.585620943 49.221237484)","46659","2017/07/28","1899/12/30","Pátek","Friday","Den","Day","Purkyňova 50, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22123748410","16.58562094350"
"POINT (16.5937547940001 49.209337411)","46662","2017/07/28","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","46687","2017/07/28","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5952923420001 49.2089706420001)","47162","2017/07/26","1899/12/30","Středa","Wednesday","Den","Day","Kounicova 46, Brno-Ponava","Cyklista na chodníku","Cyclist on the sidewalk","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.20897064190","16.59529234180"
"POINT (16.5937547940001 49.209337411)","47166","2017/07/26","1899/12/30","Středa","Wednesday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","47176","2017/07/26","1899/12/30","Středa","Wednesday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","47177","2017/07/26","1899/12/30","Středa","Wednesday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","47390","2017/07/25","1899/12/30","Úterý","Tuesday","Noc","Night","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","47393","2017/07/25","1899/12/30","Úterý","Tuesday","Noc","Night","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5952923420001 49.2089706420001)","47446","2017/07/25","1899/12/30","Úterý","Tuesday","Den","Day","Kounicova 46, Brno-Ponava","Cyklista na chodníku","Cyclist on the sidewalk","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.20897064190","16.59529234180"
"POINT (16.5937547940001 49.209337411)","47765","2017/07/24","1899/12/30","Pondělí","Monday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5968675980001 49.2198939040001)","47955","2017/07/23","1899/12/30","Neděle","Sunday","Den","Day","Palackeho trida 7, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21989390440","16.59686759790"
"POINT (16.570274856 49.2144753360001)","48065","2017/07/22","1899/12/30","Sobota","Saturday","Noc","Night","Horova 77, Brno-zabovresky","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21447533590","16.57027485570"
"POINT (16.570274856 49.2144753360001)","48066","2017/07/22","1899/12/30","Sobota","Saturday","Noc","Night","Horova 77, Brno-zabovresky","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21447533590","16.57027485570"
"POINT (16.5937547940001 49.209337411)","48080","2017/07/22","1899/12/30","Sobota","Saturday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48082","2017/07/22","1899/12/30","Sobota","Saturday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48211","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48212","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.588998905 49.2289472590001)","48244","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Bozeny Nemcove 21, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22894725870","16.58899890550"
"POINT (16.5937547940001 49.209337411)","48269","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48270","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48271","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48272","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48273","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48274","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48280","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48339","2017/07/21","1899/12/30","Pátek","Friday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48396","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48397","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48415","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48427","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48428","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48460","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48535","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.5937547940001 49.209337411)","48539","2017/07/20","1899/12/30","Čtvrtek","Thursday","Den","Day","Kounicova 67, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20933741130","16.59375479430"
"POINT (16.635959594 49.1998878730001)","48575","2017/07/19","1899/12/30","Středa","Wednesday","Noc","Night","Vaclavkova 22, Brno-zidenice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19988787330","16.63595959450"
"POINT (16.518559161 49.2301986510001)","48576","2017/07/19","1899/12/30","Středa","Wednesday","Noc","Night","Pristavni, Brno","Cyklista - Alkohol nad 0,3 promile","Cyclist - alcohol over 0,3","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.23019865070","16.51855916070"
"POINT (16.518559161 49.2301986510001)","48581","2017/07/19","1899/12/30","Středa","Wednesday","Noc","Night","Pristavni, Brno","Cyklista - Alkohol nad 0,3 promile","Cyclist - alcohol over 0,3","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Telefonické oznámení 156","Phone call 156","49.23019865070","16.51855916070"
"POINT (16.636689416 49.2010575840001)","48953","2017/07/18","1899/12/30","Úterý","Tuesday","Noc","Night","Bubenickova 10, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20105758360","16.63668941630"
"POINT (16.5849115070001 49.2254482230001)","49187","2017/07/18","1899/12/30","Úterý","Tuesday","Den","Day","cervinkova 1, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22544822270","16.58491150710"
"POINT (16.5923218030001 49.2243277330001)","49449","2017/07/17","1899/12/30","Pondělí","Monday","Den","Day","Bulharska 8, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22432773290","16.59232180340"
"POINT (16.606145279 49.196195774)","50116","2017/07/13","1899/12/30","Čtvrtek","Thursday","Den","Day","ceska 15, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19619577440","16.60614527910"
"POINT (16.5924519050001 49.2283815870001)","51121","2017/07/10","1899/12/30","Pondělí","Monday","Den","Day","Palackeho trida 130, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.22838158680","16.59245190450"
"POINT (16.530284441 49.2243276130001)","51178","2017/07/09","1899/12/30","Neděle","Sunday","Noc","Night","zivneho 27, Brno-Bystrc","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.22432761260","16.53028444150"
"POINT (16.530284441 49.2243276130001)","51179","2017/07/09","1899/12/30","Neděle","Sunday","Noc","Night","zivneho 27, Brno-Bystrc","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.22432761260","16.53028444150"
